participantId,idx,bot_detection,reported_ideology
2218182CD823447B9AC2ABD92512ACC4,2,False,0.0
245C359634154BB4BD502B646AAD3CF4,0,False,0.2
245C359634154BB4BD502B646AAD3CF4,1,False,-1.8
245C359634154BB4BD502B646AAD3CF4,2,False,-0.8
249AFC341AC54DC3B2D1A3F20F4BB970,0,False,0.0
249AFC341AC54DC3B2D1A3F20F4BB970,1,False,0.0
249AFC341AC54DC3B2D1A3F20F4BB970,2,False,0.0
24BC3A44EAB247DD8A64EE8D7C02D0E5,0,False,0.0
24BC3A44EAB247DD8A64EE8D7C02D0E5,1,False,0.0
24BC3A44EAB247DD8A64EE8D7C02D0E5,2,True,0.0
24DDFC6833CA46C690453D6DA934EE33,0,False,1.0
24DDFC6833CA46C690453D6DA934EE33,1,False,1.3
24DDFC6833CA46C690453D6DA934EE33,2,False,0.4
26F6406DC3DA4E1EBDF75D89296BF01D,0,False,0.0
26F6406DC3DA4E1EBDF75D89296BF01D,1,False,0.0
26F6406DC3DA4E1EBDF75D89296BF01D,2,False,0.0
27DA0C17F33947D2B77BDF4787411343,0,False,0.6
27DA0C17F33947D2B77BDF4787411343,1,False,-1.9
27DA0C17F33947D2B77BDF4787411343,2,False,1.1
28BDA984B5EA4E4EB22F2060EE3AA06B,0,False,1.1
28BDA984B5EA4E4EB22F2060EE3AA06B,1,False,-1.0
28BDA984B5EA4E4EB22F2060EE3AA06B,2,False,-1.1
295E1188FFE748B195F3D349F17C2BC8,0,True,0.3
295E1188FFE748B195F3D349F17C2BC8,1,False,-0.9
295E1188FFE748B195F3D349F17C2BC8,2,True,-0.4
2A2B6FF9D90943D99D47115FA01CAA82,0,False,1.0
2A2B6FF9D90943D99D47115FA01CAA82,1,False,-0.5
2A2B6FF9D90943D99D47115FA01CAA82,2,False,0.0
2A99E6EEAADB42E49B4DCE8BA1C8458A,0,False,1.0
2A99E6EEAADB42E49B4DCE8BA1C8458A,1,False,-1.2
2A99E6EEAADB42E49B4DCE8BA1C8458A,2,False,1.0
2ABC6ED4106141FCBBF98AF2778DA134,0,False,0.9
2ABC6ED4106141FCBBF98AF2778DA134,1,False,1.4
2ABC6ED4106141FCBBF98AF2778DA134,2,False,1.1
2AC8345B47624637BDA56940A573B1B2,0,False,0.0
2AC8345B47624637BDA56940A573B1B2,1,False,0.0
2AC8345B47624637BDA56940A573B1B2,2,False,0.0
2D11EC67D4394968BD2866567D1E1665,0,False,-1.0
2D11EC67D4394968BD2866567D1E1665,1,False,-2.0
2D11EC67D4394968BD2866567D1E1665,2,True,0.8
2D2158AFE9164BBEB1BCC567DF16EE43,0,False,0.8
2D2158AFE9164BBEB1BCC567DF16EE43,1,False,-1.0
2D2158AFE9164BBEB1BCC567DF16EE43,2,False,0.2
2E5521034E024ED3BB93E47C621433FA,0,False,0.0
2E5521034E024ED3BB93E47C621433FA,1,False,0.0
2E5521034E024ED3BB93E47C621433FA,2,False,0.0
2FC39056FF114BAEA14D5B42B778373E,0,False,-0.5
2FC39056FF114BAEA14D5B42B778373E,1,False,0.0
2FC39056FF114BAEA14D5B42B778373E,2,False,0.5
30F3F734AFB648BC87DB49F5943AE4A4,0,False,-1.0
30F3F734AFB648BC87DB49F5943AE4A4,1,False,-1.0
30F3F734AFB648BC87DB49F5943AE4A4,2,False,1.0
315384582C354757AAAB98CF5E4B312E,0,False,0.9
315384582C354757AAAB98CF5E4B312E,1,False,1.3
315384582C354757AAAB98CF5E4B312E,2,False,-0.8
31D4175571A14F4E84BF88D248E92969,0,True,0.0
31D4175571A14F4E84BF88D248E92969,1,False,1.1
31D4175571A14F4E84BF88D248E92969,2,False,0.4
31F636FBCE7143558C306EB121C9D69C,0,False,0.0
31F636FBCE7143558C306EB121C9D69C,1,False,-1.0
31F636FBCE7143558C306EB121C9D69C,2,False,0.0
32366D87147B4335A63BEC5E86F323C2,0,False,-1.0
32366D87147B4335A63BEC5E86F323C2,1,False,-2.0
